in1,nombre,prov,zona
06014,Adolfo Gonzales Chaves,06,XII
30015,Concordia,30,VIII
30035,Federal,30,VIII
30056,Gualeguaychú,30,VIII
30063,Islas del Ibicuy,30,VIII
30105,Victoria,30,VIII
30021,Diamante,30,VIII
30098,Uruguay,30,VIII
30084,Paraná,30,VIII
06707,Saladillo,06,X
06455,Las Flores,06,XIV
06686,Rojas,06,VII
06252,Escobar,06,VII
06412,José C. Paz,06,VII
06056,Bahía Blanca,06,XI
06735,San Antonio de Areco,06,VII
06511,Maipú,06,XIV
06280,General Alvarado,06,XII
06357,General Pueyrredón,06,XII
06518,Mar Chiquita,06,XII
06868,Villa Gesell,06,XII
06644,Pinamar,06,XIV
06336,General Lavalle,06,XIV
06420,La Costa,06,XIV
06505,Magdalena,06,VII
18175,Sauce,18,XV
06861,Vicente López,06,
66098,La Viña,66,I
06672,Rauch,06,XIV
66112,Metán,66,I
66119,Molinos,66,
22112,O'Higgins,22,II
06560,Moreno,06,VII
06427,La Matanza,06,
06791,Tandil,06,XII
06203,Coronel Suárez,06,XI
46035,Chamical,46,
26035,Futaleufú,26,
78049,Río Chico,78,
62077,San Antonio,62,
86014,Alberdi,86,II
86098,Juan Felipe Ibarra,86,II
86077,General Taboada,86,II
06721,Salliqueló,06,IX
06091,Berazategui,06,
66049,General Güemes,66,I
66154,San Carlos,66,
06343,General Paz,06,XIV
06308,General Guido,06,XIV
06315,General Juan Madariaga,06,XIV
78028,Lago Argentino,78,
86154,Rivadavia,86,II
86126,Ojo de Agua,86,II
86063,Choya,86,I
74042,Gobernador Dupuy,74,XIII
66014,Cachi,66,
66042,Chicoana,66,
26042,Gaiman,26,
26077,Rawson,26,
46077,General Lamadrid,46,
74007,Ayacucho,74,XIII
22036,12 de Octubre,22,II
14175,Tulumba,14,III
14028,Cruz del Eje,14,III
14091,Punilla,14,III
02042,Comuna 6,02,
50112,Santa Rosa,50,
22063,General Güemes,22,II
46084,General Ortiz de Ocampo,46,
14035,General Roca,14,IV
34042,Pilagás,34,II
34021,Laishi,34,II
50084,Rivadavia,50,
06819,Tornquist,06,XI
50042,La Paz,50,
06196,Coronel Pringles,06,XII
62028,Conesa,62,
06875,Villarino,06,XI
34056,Pirané,34,II
06351,General Pinto,06,IX
06742,San Cayetano,06,XII
06833,Tres Arroyos,06,XII
06189,Coronel Dorrego,06,XII
06581,Necochea,06,XII
46105,Independencia,46,
06218,Chascomús,06,XIV
06655,Punta Indio,06,XIV
38014,El Carmen,38,I
14147,Santa María,14,III
62084,Valcheta,62,
46007,Arauco,46,
06466,Lezama,06,XIV
06126,Campana,06,VII
78042,Magallanes,78,
78007,Corpen Aike,78,
14070,Minas,14,III
14126,San Alberto,14,III
14119,Río Segundo,14,VI
14140,San Justo,14,III
14182,Unión,14,VI
14161,Tercero Arriba,14,VI
66035,Cerrillos,66,I
14098,Río Cuarto,14,IV
50126,Tupungato,50,
62049,9 de Julio,62,
62056,Ñorquinco,62,
